Species Link,Species,Order,Family,Number of recordings,Songs,Calls,Instr.,Juveniles,Undefined,Date of last modification,Download Link
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Turdus%20iliacus&Page=1,"Turdus iliacus
(Redwing)",Passeriformes,Turdidae,13,8,4,-,-,-,11.01.2017,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Turdus%20iliacus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Acrocephalus%20scirpaceus&Page=1,"Acrocephalus scirpaceus
(Eurasian Reed Warbler)",Passeriformes,Acrocephalidae,59,43,5,-,9,2,03.11.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Acrocephalus%20scirpaceus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Porzana%20porzana&Page=1,"Porzana porzana
(Spotted Crake)",Gruiformes,Rallidae,66,66,-,-,-,-,29.08.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Porzana%20porzana
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Remiz%20pendulinus&Page=1,"Remiz pendulinus
(Eurasian Penduline Tit)",Passeriformes,Remizidae,9,-,9,-,-,-,30.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Remiz%20pendulinus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Regulus%20regulus&Page=1,"Regulus regulus
(Goldcrest)",Passeriformes,Regulidae,20,12,8,-,-,-,30.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Regulus%20regulus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Poecile%20montanus&Page=1,"Poecile montanus
(Willow Tit)",Passeriformes,Paridae,20,13,7,-,-,-,30.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Poecile%20montanus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Phoenicopterus%20roseus&Page=1,"Phoenicopterus roseus
(Greater Flamingo)",Flamingos,Phoenicopteridae,2,-,2,-,-,-,30.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Phoenicopterus%20roseus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Parus%20major&Page=1,"Parus major
(Great Tit)",Passeriformes,Paridae,145,60,84,-,-,1,30.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Parus%20major
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Lullula%20arborea&Page=1,"Lullula arborea
(Woodlark)",Passeriformes,Alaudidae,22,15,7,-,-,-,30.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Lullula%20arborea
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Crex%20crex&Page=1,"Crex crex
(Corn Crake)",Gruiformes,Rallidae,18,18,-,-,-,-,30.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Crex%20crex
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Phylloscopus%20trochilus&Page=1,"Phylloscopus trochilus
(Willow Warbler)",Passeriformes,Phylloscopidae,133,112,21,-,-,-,27.05.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Phylloscopus%20trochilus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Dendrocopos%20major&Page=1,"Dendrocopos major
(Great Spotted Woodpecker)",Piciformes,Picidae,53,-,18,20,15,-,29.02.2016,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Dendrocopos%20major
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Turdus%20merula&Page=1,"Turdus merula
(Common Blackbird)",Passeriformes,Turdidae,156,139,17,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Turdus%20merula
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Tringa%20totanus&Page=1,"Tringa totanus
(Common Redshank)",Charadriiformes,Scolopacidae,13,-,13,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Tringa%20totanus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Sylvia%20melanocephala&Page=1,"Sylvia melanocephala
(Sardinian Warbler)",Passeriformes,Sylviidae,50,22,28,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Sylvia%20melanocephala
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Sylvia%20atricapilla&Page=1,"Sylvia atricapilla
(Eurasian Blackcap)",Passeriformes,Sylviidae,110,84,14,-,12,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Sylvia%20atricapilla
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Sitta%20europaea&Page=1,"Sitta europaea
(Eurasian Nuthatch)",Passeriformes,Sittidae,37,12,23,-,2,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Sitta%20europaea
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Rallus%20aquaticus&Page=1,"Rallus aquaticus
(Water Rail)",Gruiformes,Rallidae,113,50,63,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Rallus%20aquaticus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Phylloscopus%20collybita&Page=1,"Phylloscopus collybita
(Common Chiffchaff)",Passeriformes,Phylloscopidae,132,74,58,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Phylloscopus%20collybita
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Periparus%20ater&Page=1,"Periparus ater
(Coal Tit)",Passeriformes,Paridae,187,103,84,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Periparus%20ater
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Passer%20domesticus&Page=1,"Passer domesticus
(House Sparrow)",Passeriformes,Passeridae,23,12,11,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Passer%20domesticus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Monticola%20solitarius&Page=1,"Monticola solitarius
(Blue Rock Thrush)",Passeriformes,Muscicapidae,10,10,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Monticola%20solitarius
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Luscinia%20megarhynchos&Page=1,"Luscinia megarhynchos
(Common Nightingale)",Passeriformes,Muscicapidae,179,152,27,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Luscinia%20megarhynchos
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Garrulus%20glandarius&Page=1,"Garrulus glandarius
(Eurasian Jay)",Passeriformes,Corvidae,24,-,24,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Garrulus%20glandarius
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Galerida%20cristata&Page=1,"Galerida cristata
(Crested Lark)",Passeriformes,Alaudidae,18,18,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Galerida%20cristata
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Emberiza%20citrinella&Page=1,"Emberiza citrinella
(Yellowhammer)",Passeriformes,Emberizidae,86,83,3,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Emberiza%20citrinella
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Emberiza%20cia&Page=1,"Emberiza cia
(Rock Bunting)",Passeriformes,Emberizidae,2,-,2,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Emberiza%20cia
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Dryocopus%20martius&Page=1,"Dryocopus martius
(Black Woodpecker)",Piciformes,Picidae,53,5,28,6,14,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Dryocopus%20martius
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Certhia%20brachydactyla&Page=1,"Certhia brachydactyla
(Short-toed Treecreeper)",Passeriformes,Certhiidae,42,29,12,-,-,1,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Certhia%20brachydactyla
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Calidris%20ferruginea&Page=1,"Calidris ferruginea
(Curlew Sandpiper)",Charadriiformes,Scolopacidae,3,-,3,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Calidris%20ferruginea
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Acrocephalus%20palustris&Page=1,"Acrocephalus palustris
(Marsh Warbler)",Passeriformes,Acrocephalidae,37,34,3,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Acrocephalus%20palustris
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Pyrrhocorax%20pyrrhocorax&Page=1,"Pyrrhocorax pyrrhocorax
(Red-billed Chough)",Passeriformes,Corvidae,5,-,5,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Pyrrhocorax%20pyrrhocorax
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Pyrrhocorax%20graculus&Page=1,"Pyrrhocorax graculus
(Alpine Chough)",Passeriformes,Corvidae,2,-,2,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Pyrrhocorax%20graculus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Oenanthe%20leucura&Page=1,"Oenanthe leucura
(Black Wheatear)",Passeriformes,Muscicapidae,5,5,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Oenanthe%20leucura
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Melanocorypha%20calandra&Page=1,"Melanocorypha calandra
(Calandra Lark)",Passeriformes,Alaudidae,1,1,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Melanocorypha%20calandra
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Galerida%20theklae&Page=1,"Galerida theklae
(Thekla Lark)",Passeriformes,Alaudidae,2,-,2,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Galerida%20theklae
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Eumodicogryllus%20bordigalensis&Page=1,"Eumodicogryllus bordigalensis
(Bordeaux cricket)",Orthoptera,Gryllidae,3,3,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Eumodicogryllus%20bordigalensis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Cisticola%20juncidis&Page=1,"Cisticola juncidis
(Zitting Cisticola)",Passeriformes,Cisticolidae,2,-,2,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Cisticola%20juncidis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Calandrella%20rufescens&Page=1,"Calandrella rufescens
(Lesser Short-toed Lark)",Passeriformes,Alaudidae,3,3,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Calandrella%20rufescens
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Anthus%20cervinus&Page=1,"Anthus cervinus
(Red-throated Pipit)",Passeriformes,Motacillidae,1,-,1,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Anthus%20cervinus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Alectoris%20rufa&Page=1,"Alectoris rufa
(Red-legged Partridge)",Galliformes,Phasianidae,3,3,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Alectoris%20rufa
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Acrocephalus%20paludicola&Page=1,"Acrocephalus paludicola
(Aquatic Warbler)",Passeriformes,Acrocephalidae,3,3,-,-,-,-,27.05.2015,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Acrocephalus%20paludicola
